Date,Open,High,Low,Close,Adj Close,Volume
2021-05-28,369.835693,373.313232,313.723022,329.879913,329.879913,4482824807
2021-05-29,328.986847,346.923950,296.570740,305.052155,305.052155,3070017878
2021-05-30,305.042572,337.742371,292.852356,325.784027,325.784027,3246314973
2021-05-31,325.808136,355.977142,307.944031,354.329346,354.329346,3865691845
2021-06-01,353.782532,364.320129,340.474243,362.794647,362.794647,3425775257
2021-06-02,362.360870,418.665131,350.956787,401.262329,401.262329,4486850584
2021-06-03,401.760834,432.308105,392.033173,427.807922,427.807922,4370188399
2021-06-04,428.187378,428.443146,366.274841,391.395325,391.395325,4951450795
2021-06-05,390.958801,425.902740,375.067505,390.431854,390.431854,3956143113
2021-06-06,390.236725,400.041168,382.344971,393.820221,393.820221,2101917655
2021-06-07,393.654663,407.375671,355.975464,357.310211,357.310211,2927240962
2021-06-08,358.165436,365.923187,320.238007,354.001373,354.001373,4491122307
2021-06-09,352.765930,378.741364,334.419098,375.734680,375.734680,3543408536
2021-06-10,375.669006,376.950195,345.517670,352.183197,352.183197,2505012942
2021-06-11,352.084839,365.303986,341.477356,345.933685,345.933685,2269923678
2021-06-12,345.901703,348.878571,325.817719,343.741028,343.741028,2146761411
2021-06-13,344.042847,369.058044,331.111938,366.648956,366.648956,2171880359
2021-06-14,365.754700,377.018646,355.310944,368.792755,368.792755,2271215183
2021-06-15,372.736847,379.659851,363.934998,373.566162,373.566162,2246535807
2021-06-16,366.816620,366.816620,343.648560,347.033447,347.033447,1626149384
2021-06-17,347.212372,362.259399,346.037537,352.738525,352.738525,1379161855
2021-06-18,353.013367,357.074280,328.047333,336.809692,336.809692,1613940591
2021-06-19,337.552277,345.459595,332.096497,335.712830,335.712830,1140833816
2021-06-20,334.650940,340.789520,310.775879,340.067200,340.067200,1756674565
2021-06-21,339.326630,341.799347,269.433685,270.984436,270.984436,2911962314
2021-06-22,270.793396,291.022583,226.297836,261.818085,261.818085,4089344405
2021-06-23,262.058197,309.126434,252.203140,294.490295,294.490295,3170293549
2021-06-24,296.263947,316.190765,281.984711,308.397034,308.397034,2323626593
2021-06-25,308.582031,313.977081,275.838196,281.620911,281.620911,2317971593
2021-06-26,281.133942,289.949799,264.601013,279.438049,279.438049,1921847994
2021-06-27,279.865295,291.148926,270.289917,290.567017,290.567017,1521388056
2021-06-28,290.818695,298.720612,283.951843,289.534119,289.534119,1722578691
2021-06-29,289.919128,315.439331,289.221161,300.211548,300.211548,1946428384
2021-06-30,300.958801,304.801361,281.778015,303.295868,303.295868,1903538448
2021-07-01,303.527374,303.527374,281.579132,288.218414,288.218414,1357794786
2021-07-02,287.754456,290.621674,277.350311,287.423096,287.423096,1133632645
2021-07-03,287.215607,302.605865,283.434021,298.237122,298.237122,1113777297
2021-07-04,298.113556,314.713013,292.787384,307.732086,307.732086,1387395766
2021-07-05,307.684845,307.684845,293.523468,302.377991,302.377991,1504869977
2021-07-06,302.195587,321.520966,302.195587,320.934814,320.934814,2203265498
2021-07-07,320.191772,339.167664,318.529968,327.522461,327.522461,2067233169
2021-07-08,327.957855,327.957855,305.075439,310.427124,310.427124,1883785090
2021-07-09,310.010284,319.443909,301.828217,316.484528,316.484528,1358583891
2021-07-10,316.996307,320.939270,310.886902,316.140137,316.140137,1179686219
2021-07-11,316.056366,326.751801,312.639008,322.031647,322.031647,1189805384
2021-07-12,322.034912,334.282074,309.142059,316.328186,316.328186,1614469810
2021-07-13,316.268890,318.295135,305.489410,308.811157,308.811157,1231759805
2021-07-14,308.952606,313.215790,290.662384,309.406372,309.406372,1646743038
